Backward Citation Ages.  ,,,,,,,,
Means and percentiles are presented in Supplementary Figure 1D. ,,,,,,,,
The predicted values and their standard errors are presented in Figures 2-4.,,,,,,,,
field,year,mean,median,p25,p75,,Predicted,se
Medicine,1933,0.1395487,-0.1792367,-0.5633156,0.588921,,0.0535173,0.018383
Medicine,1934,0.0253489,-0.0724256,-0.3892876,0.3802344,,0.0569774,0.0182988
Medicine,1935,0.1824811,-0.050604,-0.5106403,0.5627778,,0.0603263,0.0181929
Medicine,1936,0.0702497,-0.1352307,-0.5742916,0.5672666,,0.0635699,0.0180673
Medicine,1937,0.0777681,-0.0222194,-0.4851247,0.5332668,,0.0667141,0.0179242
Medicine,1938,0.2851043,-0.0898273,-0.5454733,0.4960032,,0.0697649,0.0177662
Medicine,1939,0.2087864,-0.1333021,-0.6151169,0.9909325,,0.0727281,0.0175963
Medicine,1940,0.2152776,-0.0046131,-0.6196918,0.7642355,,0.0756097,0.0174175
Medicine,1941,0.2019873,-0.0259984,-0.8259483,0.7739515,,0.0784153,0.0172331
Medicine,1942,0.2136321,-0.143534,-0.8111341,0.5240662,,0.0811509,0.0170467
Medicine,1943,-0.1778442,-0.289872,-0.7099764,0.2002498,,0.0838222,0.0168616
Medicine,1944,0.0100316,-0.2628303,-0.7644145,0.4393877,,0.0864349,0.0166815
Medicine,1945,-0.1431724,-0.3322155,-0.7492223,0.1542925,,0.0889946,0.0165098
Medicine,1946,-0.0308902,-0.132828,-0.5961818,0.2533001,,0.0915071,0.0163499
Medicine,1947,-0.0816136,-0.2909701,-0.8232325,0.418713,,0.093978,0.0162049
Medicine,1948,-0.1545025,-0.4169906,-0.749254,0.2475362,,0.0964129,0.016078
Medicine,1949,0.1780193,-0.3020935,-0.6617286,0.5969942,,0.0988172,0.0159716
Medicine,1950,-0.1758827,-0.4177214,-0.7317976,0.053393,,0.1011967,0.0158879
Medicine,1951,-0.143004,-0.2926286,-0.8222731,0.369427,,0.1035566,0.0158288
Medicine,1952,-0.1106836,-0.2075319,-0.7263616,0.3112979,,0.1059026,0.0157955
Medicine,1953,-0.1735736,-0.4031386,-0.6830959,0.0867868,,0.1082401,0.0157886
Medicine,1954,-0.0953041,-0.3359471,-0.6337726,0.1405737,,0.1105744,0.0158082
Medicine,1956,0.235702,0.5222091,0.5222091,0.5222091,,0.1152551,0.0159246
Medicine,1957,-0.0621235,-0.0028777,-0.7169012,0.5525375,,0.1176122,0.0160188
Medicine,1958,0.0093979,0.0414392,-0.4906834,0.4548524,,0.1199874,0.0161344
Medicine,1959,0.2150576,0.2346744,-0.3077407,0.9756265,,0.122386,0.0162689
Medicine,1960,0.1137919,0.2080915,-0.370808,0.6423214,,0.1248132,0.0164196
Medicine,1961,0.1626472,0.2788305,-0.6265847,0.7891116,,0.1272743,0.0165835
Medicine,1962,0.1979453,0.1520404,-0.3852504,0.6980181,,0.1297744,0.0167573
Medicine,1963,0.0910048,0.1695163,-0.4969342,0.6382145,,0.1323186,0.0169376
Medicine,1964,0.1205399,0.1171069,-0.2428711,0.4818981,,0.134912,0.0171211
Medicine,1965,0.2334076,0.2110146,-0.4151356,0.7119349,,0.1375597,0.0173043
Medicine,1966,0.1539397,0.0258392,-0.5626926,0.8454909,,0.1402667,0.0174839
Medicine,1967,0.0659424,0.0035005,-0.5749443,0.6003631,,0.1430381,0.0176566
Medicine,1968,0.3635932,0.2876579,-0.2781615,0.931869,,0.1458788,0.0178194
Medicine,1969,0.2467091,0.0666133,-0.4443326,0.6936974,,0.1487938,0.0179693
Medicine,1970,0.317314,0.2528581,-0.3149728,0.820689,,0.1517879,0.0181036
Medicine,1971,0.045465,-0.0080981,-0.4883159,0.5230475,,0.1548662,0.0182199
Medicine,1972,0.129024,-0.0096388,-0.5872294,0.6322186,,0.1580334,0.018316
Medicine,1973,0.2381786,0.0174589,-0.425611,0.8416248,,0.1612944,0.0183901
Medicine,1974,0.5573208,0.4001016,-0.3117647,1.317218,,0.164654,0.0184408
Medicine,1975,0.1846132,0.0011518,-0.3623671,0.6244171,,0.1681171,0.0184671
Medicine,1976,0.0981769,-0.1436156,-0.489825,0.4718677,,0.1716882,0.0184685
Medicine,1977,0.3139317,0.198485,-0.3380837,0.7539666,,0.1753722,0.018445
Medicine,1978,0.0980678,0.0327817,-0.591154,0.6624111,,0.1791738,0.0183974
Medicine,1979,0.2144397,0.0819144,-0.4936276,0.8367004,,0.1830976,0.0183271
Medicine,1980,-0.1263134,-0.1332746,-0.7041454,0.3562819,,0.1871483,0.0182364
Medicine,1981,-0.2550107,-0.4895293,-0.9265687,0.2685186,,0.1913305,0.0181288
Medicine,1982,-0.0983975,-0.2972856,-0.7883529,0.5757382,,0.1956487,0.0180088
Medicine,1983,-0.1666748,-0.3149741,-0.7206264,0.2739614,,0.2001076,0.0178823
Medicine,1984,-0.0678782,-0.1121546,-0.7117983,0.4658015,,0.2047116,0.0177567
Medicine,1985,0.2104919,0.1651894,-0.4384194,0.6356355,,0.2094653,0.0176412
Medicine,1986,0.1687602,-0.072994,-0.6009696,0.8377136,,0.2143731,0.0175467
Medicine,1987,0.3744528,0.261428,-0.4085337,1.038385,,0.2194396,0.0174862
Medicine,1988,0.439667,0.1476729,-0.7157999,1.188402,,0.224669,0.0174745
Medicine,1989,0.049387,-0.0564997,-0.5483035,0.5113705,,0.2300659,0.017528
Medicine,1990,0.7537866,0.4729853,-0.0920343,1.725471,,0.2356345,0.0176645
Medicine,1991,0.7585651,0.5044091,-0.1277056,1.455901,,0.2413793,0.0179022
Medicine,1992,0.3486274,0.1595651,-0.3605842,0.9240507,,0.2473046,0.0182595
Medicine,1993,0.7151945,0.5884427,-0.2400327,1.578526,,0.2534145,0.018753
Medicine,1994,0.2461681,0.0586694,-0.4346034,0.6661115,,0.2597135,0.019398
Medicine,1995,0.6266271,0.3828799,-0.2214249,1.284418,,0.2662058,0.0202066
Medicine,1996,0.6393566,0.4419532,-0.3020523,1.470148,,0.2728955,0.021188
Medicine,1997,0.4664657,0.2449003,-0.3609203,1.208814,,0.2797868,0.0223481
Medicine,1998,0.1688044,0.0224797,-0.6308993,0.811745,,0.286884,0.0236901
Medicine,1999,0.2599456,0.2356054,-0.250222,0.710853,,0.2941912,0.0252149
Medicine,2000,0.2042563,0.1205722,-0.4180741,0.8627927,,0.3017124,0.0269218
Medicine,2001,0.3930546,0.352609,-0.3900998,0.8468076,,0.3094517,0.0288089
Medicine,2002,0.221079,0.0300758,-0.5346006,0.9581156,,0.3174133,0.0308735
Medicine,2003,-0.0502038,-0.2015206,-0.6549618,0.2906886,,0.3256011,0.033113
Medicine,2004,0.1768156,-0.0639989,-0.4684714,0.571571,,0.3340193,0.0355246
Medicine,2005,0.1613296,-0.0590011,-0.5801868,0.8388976,,0.3426716,0.038106
Medicine,2006,-0.2869013,-0.5450413,-1.085921,0.372147,,0.3515622,0.040855
Physics,1900,-0.4074827,-0.4297936,-0.747723,0.1000889,,-0.20848,0.0875956
Physics,1901,-0.2150474,-0.2500954,-0.8108628,0.1003843,,-0.220828,0.081942
Physics,1902,-0.0324767,-0.5196267,-0.6776212,-0.0456429,,-0.2328408,0.0765746
Physics,1903,-0.2178037,-0.3691508,-0.5326056,0.0122439,,-0.2445133,0.0714909
Physics,1904,-0.2554767,-0.5452397,-0.8763976,0.1170759,,-0.2558406,0.0666887
Physics,1905,-0.469679,-0.5608788,-0.8344782,-0.1960796,,-0.2668176,0.0621661
Physics,1906,-0.2471739,-0.6175197,-0.8601601,0.3530417,,-0.2774395,0.0579216
Physics,1907,-0.1456724,-0.4918675,-0.8326532,0.1897041,,-0.2877012,0.0539541
Physics,1908,-0.2412141,-0.4549805,-0.7457029,-0.018897,,-0.297598,0.0502625
Physics,1909,-0.2626728,-0.3448371,-0.5116937,-0.0667427,,-0.3071249,0.0468463
Physics,1910,-0.0538729,-0.3795748,-0.6671314,0.4830951,,-0.3162772,0.0437044
Physics,1911,-0.3490866,-0.5675257,-0.7963667,-0.1670539,,-0.3250501,0.040836
Physics,1912,-0.5524201,-0.6639798,-0.7954609,-0.2695364,,-0.3334387,0.0382391
Physics,1913,-0.3689238,-0.462856,-0.6737244,-0.1465535,,-0.3414384,0.0359111
Physics,1914,-0.3658469,-0.5628145,-0.8380293,-0.0123847,,-0.3490444,0.0338473
Physics,1915,0.0972197,-0.2885728,-0.6820811,0.236105,,-0.3562522,0.0320413
Physics,1916,-0.8110007,-0.9804298,-1.375764,-0.5850952,,-0.363057,0.0304835
Physics,1917,-0.4299717,-0.6537573,-1.006504,-0.0658461,,-0.3694543,0.0291618
Physics,1918,-0.626209,-0.8258202,-0.9969156,-0.4265977,,-0.3754395,0.0280604
Physics,1919,-0.5128546,-0.5199845,-1.004819,-0.2775675,,-0.3810079,0.0271609
Physics,1920,-0.5253506,-0.7213639,-1.10989,-0.07382,,-0.3861552,0.0264419
Physics,1921,-0.4262223,-0.5708025,-0.9414534,-0.2001515,,-0.3908768,0.0258807
Physics,1922,-0.3397915,-0.6032249,-1.043535,-0.1629147,,-0.3951683,0.0254535
Physics,1923,-0.24306,-0.4559886,-0.7070836,-0.0542365,,-0.3990252,0.0251369
Physics,1924,-0.5940033,-0.8480921,-1.073949,-0.3963786,,-0.4024431,0.0249082
Physics,1925,-0.4978907,-0.8061088,-1.102472,-0.2874726,,-0.4054177,0.0247467
Physics,1926,-0.4904097,-0.6187934,-0.7384055,-0.3795691,,-0.4079446,0.0246335
Physics,1927,-0.2169952,-0.5998466,-0.8762736,-0.0469926,,-0.4100194,0.0245525
Physics,1928,-0.3831804,-0.652222,-0.9239812,-0.2445833,,-0.411638,0.0244895
Physics,1929,-0.5545859,-0.7594203,-1.038107,-0.3413908,,-0.412796,0.0244333
Physics,1930,-0.4372378,-0.6348356,-0.774976,-0.2144147,,-0.4134893,0.0243744
Physics,1931,-0.5317101,-0.7443427,-0.9891922,-0.3770683,,-0.4137135,0.0243055
Physics,1932,-0.5891185,-0.7596239,-1.05235,-0.4668979,,-0.4134646,0.0242212
Physics,1933,-0.4124275,-0.5633156,-0.8193681,-0.307263,,-0.4127384,0.0241175
Physics,1934,-0.4261142,-0.5703516,-0.6608836,-0.3892876,,-0.4115307,0.0239921
Physics,1935,-0.3488924,-0.6639858,-0.8173312,-0.050604,,-0.4098375,0.0238436
Physics,1936,-0.2588182,-0.6621038,-0.8377281,-0.1352307,,-0.4076547,0.0236718
Physics,1937,-0.5380281,-0.8554488,-1.040611,-0.1148005,,-0.4049784,0.0234775
Physics,1938,-0.2561742,-0.5454733,-0.6756578,-0.024735,,-0.4018043,0.0232621
Physics,1939,-0.4320273,-0.6151169,-0.9363268,0.0273029,,-0.3981287,0.0230277
Physics,1940,-0.4736107,-0.6196918,-0.9272313,-0.3121525,,-0.3939475,0.0227771
Physics,1941,-0.2420768,-0.6259608,-1.025936,-0.0259984,,-0.3892567,0.0225135
Physics,1942,-0.339887,-0.4773341,-0.8111341,-0.143534,,-0.3840526,0.0222405
Physics,1943,-0.1158894,-0.4299068,-0.7099764,0.1302324,,-0.3783312,0.021962
Physics,1944,-0.0574195,-0.3631471,-0.9650483,0.4393877,,-0.3720886,0.0216824
Physics,1945,0.1406648,-0.1237121,-0.5407189,0.4322971,,-0.3653211,0.0214058
Physics,1946,0.006991,-0.132828,-0.4417306,0.3305258,,-0.3580249,0.0211368
Physics,1947,0.0035484,-0.2909701,-0.8232325,0.5074234,,-0.3501961,0.0208798
Physics,1948,-0.1378893,-0.4169906,-0.9153857,0.2475362,,-0.341831,0.0206391
Physics,1949,-0.1924048,-0.3020935,-0.7516373,0.4171766,,-0.3329259,0.0204188
Physics,1950,-0.2088607,-0.4177214,-0.8888358,0.2889502,,-0.3234771,0.0202227
Physics,1951,-0.107253,-0.1602175,-0.689862,0.369427,,-0.313481,0.0200543
Physics,1952,-0.1954258,-0.2075319,-0.8993049,0.3112979,,-0.3029339,0.0199162
Physics,1953,-0.3387484,-0.5431172,-0.7530853,0.0167974,,-0.2918321,0.0198106
Physics,1954,-0.2847211,-0.3955122,-0.6337726,-0.0381216,,-0.2801722,0.0197392
Physics,1956,0.0171483,0.5222091,-0.3657221,0.5222091,,-0.2551633,0.0197004
Physics,1957,-0.3646002,-0.3360886,-0.7169012,0.2351302,,-0.2418074,0.0197322
Physics,1958,-0.042724,-0.0030268,-0.7374495,0.5978646,,-0.2278791,0.0197961
